"","V1","V2"
"1","vari0401",0.012
"2","vari0399",0.0104
"3","vari0391",0.0019
"4","vari0385",0.0142
"5","vari0382",0.0206
"6","vari0381",0.0236
"7","vari0377",0.021
"8","vari0372",0.0097
"9","vari0369",0.0055
"10","vari0368",0.0084
"11","vari0367",0.0064
"12","vari0358",0.0276
"13","vari0357",0.0296
"14","vari0352",0.007
"15","vari0349",0.0076
"16","vari0347",0.0045
"17","vari0346",0.0045
"18","vari0341",0.0198
"19","vari0340",0.0206
"20","vari0331",0.0086
"21","vari0330",0.0072
"22","vari0329",0.0115
"23","vari0327",0.0024
"24","vari0324",0.0189
"25","vari0323",0.0193
"26","vari0319",0.02
"27","vari0318",0.0408
"28","vari0317",0.0393
"29","vari0313",0.0312
"30","vari0312",0.0553
"31","vari0311",0.0578
"32","vari0307",0.0261
"33","vari0306",0.0425
"34","vari0305",0.0433
"35","vari0301",0.022
"36","vari0300",0.0266
"37","vari0299",0.043
"38","vari0298",0.043
"39","vari0296",0.0207
"40","vari0293",0.0098
"41","vari0292",0.0195
"42","vari0291",0.0424
"43","vari0290",0.0305
"44","vari0289",0.0494
"45","vari0288",0.0483
"46","vari0286",0.028
"47","vari0284",0.0276
"48","vari0282",0.0284
"49","vari0280",0.0122
"50","vari0278",0.025
"51","vari0276",0.0287
"52","vari0274",0.0141
"53","vari0272",0.0253
"54","vari0270",0.0285
"55","vari0266",0.0283
"56","vari0264",0.028
"57","vari0260",0.0252
"58","vari0258",0.025
"59","vari0251",0.0166
"60","vari0249",0.0151
"61","vari0247",0.0146
"62","vari0245",0.0277
"63","vari0244",0.0448
"64","vari0243",0.045
"65","vari0234",0.0144
"66","vari0211",0.022
"67","vari0205",0.014
"68","vari0194",0.0161
"69","vari0193",0.0194
"70","vari0192",0.0083
"71","vari0188",0.0125
"72","vari0187",0.0218
"73","vari0185",0.0125
"74","vari0183",0.02
"75","vari0155",0.0342
"76","vari0136",0.0471
"77","vari0134",0.0467
"78","vari0132",0.0148
"79","vari0130",0.0082
"80","vari0128",0.0199
"81","vari0126",0.0191
"82","vari0124",0.0197
"83","vari0122",0.0192
"84","vari0120",0.0198
"85","vari0118",0.0178
"86","vari0108",0.042
"87","vari0089_v2",0.0092
"88","vari0089",0.0093
"89","vari0088",0.0019
"90","vari0087_v2",0.0014
"91","vari0087",0.0014
"92","vari0086",0.0071
"93","vari0082",0.003
"94","vari0081",0.0071
"95","vari0080",0.0145
"96","vari0079",0.015
"97","vari0078",0.0159
"98","vari0077",0.016
"99","vari0066",0.0013
"100","vari0061",0.0071
"101","vari0059",0.0075
"102","vari0058",0.0083
"103","vari0057",0.0068
"104","vari0056",0.0068
"105","vari0052",0.0011
"106","vari0050",0.0313
"107","vari0048",0.0041
"108","vari0046",0.037
"109","vari0044",0.0361
"110","vari0042",0.0056
"111","vari0040",0.0017
"112","vari0038",0.0063
"113","vari0036",0.0047
"114","vari0034",0.0066
"115","vari0032",0.0065
"116","vari0030",0.0076
"117","vari0028",0.0053
"118","vari0020",4e-04
"119","vari0019",0.0027
"120","vari0018",0.0154
"121","vari0017",0.0137
"122","vari0016",0.0196
"123","vari0014",0.0011
"124","vari0012",0.0028
"125","vari0011",0.0032
"126","vari0006",0.0061
"127","group8_count",0.0016
"128","group6_count",0.0159
"129","group5_count",7e-04
"130","group4_count",0.0143
"131","group3_count",0.0082
"132","group2_count",0.0181
"133","group12_pct",0.0022
"134","group12_count",0.0022
"135","group1_count",0.009
"136","app_special_list2_v2_ratio",0.0026
"137","app_special_list2_v2_counts",0.003
"138","app_special_list2_ratio",0.0029
"139","app_special_list2_counts",0.0035
"140","app_special_list1_ratio",8e-04
"141","app_special_list1_counts",6e-04
"142","app_gd_list1_ratio",0.0242
"143","app_gd_list1_counts",0.0231
"144","raw_vari0008",0.0061
"145","raw_vari0011",0.0099
"146","raw_vari0016",0.0055
"147","raw_vari0021",0.0382
"148","raw_vari0026",0.0077
"149","vari0001",0.0129
"150","vari0003",0.0058
"151","td_freq_var19",0.0367
"152","td_freq_var21",0.0019
"153","td_list_flag2",0.0023
"154","td_list_flag20",3e-04
"155","td_list_flag23",0.0041
